"Title","Date Added","MMGBSA dG Bind"
"5L2S - minimized 5L2S -  refrence 714 - Frame 1_protein","2023-08-12 17:02:32",
"5L2S - minimized 5L2S -  refrence 714 - Frame 1_ligand1","2023-08-12 17:02:32",-47.89
"5L2S - minimized 5L2S -  refrence 714 - Frame 1_ligand2","2023-08-12 17:02:33",-42.60
"5L2S - minimized 5L2S -  refrence 714 - Frame 200_protein","2023-08-12 17:02:41",
"5L2S - minimized 5L2S -  refrence 714 - Frame 200_ligand1","2023-08-12 17:02:41",-43.11
"5L2S - minimized 5L2S -  refrence 714 - Frame 200_ligand2","2023-08-12 17:02:41",-23.50
"5L2S - minimized 5L2S -  refrence 714 - Frame 400_protein","2023-08-12 17:02:48",
"5L2S - minimized 5L2S -  refrence 714 - Frame 400_ligand1","2023-08-12 17:02:48",-41.63
"5L2S - minimized 5L2S -  refrence 714 - Frame 400_ligand2","2023-08-12 17:02:48",-16.38
"5L2S - minimized 5L2S -  refrence 714 - Frame 600_protein","2023-08-12 17:02:57",
"5L2S - minimized 5L2S -  refrence 714 - Frame 600_ligand1","2023-08-12 17:02:57",-40.26
"5L2S - minimized 5L2S -  refrence 714 - Frame 600_ligand2","2023-08-12 17:02:57",-17.10
"5L2S - minimized 5L2S -  refrence 714 - Frame 800_protein","2023-08-12 17:03:03",
"5L2S - minimized 5L2S -  refrence 714 - Frame 800_ligand1","2023-08-12 17:03:03",-37.67
"5L2S - minimized 5L2S -  refrence 714 - Frame 800_ligand2","2023-08-12 17:03:03",-18.33
"5L2S - minimized 5L2S -  refrence 714 - Frame 1000_protein","2023-08-12 17:03:07",
"5L2S - minimized 5L2S -  refrence 714 - Frame 1000_ligand1","2023-08-12 17:03:07",-51.24
"5L2S - minimized 5L2S -  refrence 714 - Frame 1000_ligand2","2023-08-12 17:03:07",-16.45
